iter	Passed	Remaining
0	2	2388
1	4	2093
2	6	2033
3	7	1981
4	9	1932
5	11	1902
6	13	1883
7	15	1864
8	17	1873
9	18	1855
10	20	1830
11	22	1817
12	23	1803
13	24	1712
14	25	1702
15	27	1694
16	29	1693
17	30	1683
18	32	1678
19	34	1675
20	35	1668
21	37	1664
22	39	1658
23	40	1651
24	42	1645
25	43	1641
26	45	1635
27	46	1630
28	48	1627
29	50	1623
30	51	1623
31	53	1622
32	55	1620
33	57	1619
34	58	1618
35	60	1614
36	61	1609
37	63	1607
38	65	1604
39	66	1600
40	68	1597
41	70	1598
42	71	1594
43	73	1592
44	74	1589
45	76	1587
46	78	1586
47	79	1582
48	81	1578
49	82	1575
50	84	1574
51	86	1572
52	87	1570
53	89	1571
54	91	1568
55	92	1566
56	94	1564
57	96	1563
58	97	1562
59	99	1560
60	101	1558
61	102	1556
62	104	1553
63	106	1550
64	107	1548
65	109	1547
66	110	1545
67	112	1545
68	114	1546
69	116	1544
70	117	1543
71	119	1542
72	121	1540
73	122	1538
74	124	1537
75	126	1535
76	128	1534
77	129	1532
78	131	1530
79	133	1529
80	134	1527
81	136	1525
82	137	1524
83	139	1522
84	141	1519
85	142	1517
86	144	1515
87	146	1514
88	147	1512
89	149	1510
90	151	1509
91	152	1507
92	154	1505
93	155	1503
94	157	1501
95	159	1499
96	160	1498
97	162	1496
98	164	1494
99	165	1492
100	167	1490
101	169	1488
102	170	1486
103	172	1484
104	173	1482
105	175	1480
106	177	1479
107	178	1477
108	180	1475
109	182	1473
110	183	1471
111	185	1469
112	186	1467
113	188	1465
114	190	1463
115	191	1461
116	193	1459
117	195	1460
118	196	1458
119	198	1456
120	200	1455
121	202	1454
122	203	1452
123	205	1450
124	207	1449
125	208	1447
126	210	1445
127	211	1443
128	213	1442
129	215	1442
130	217	1441
131	218	1440
132	220	1438
133	222	1436
134	223	1434
135	225	1433
136	227	1434
137	229	1432
138	230	1430
139	232	1429
140	234	1427
141	235	1425
142	237	1423
143	239	1421
144	240	1419
145	242	1419
146	244	1418
147	246	1416
148	247	1414
149	249	1412
150	250	1411
151	252	1409
152	254	1408
153	255	1406
154	257	1404
155	259	1404
156	261	1402
157	262	1400
158	264	1399
159	266	1397
160	267	1395
161	269	1393
162	271	1392
163	272	1390
164	274	1389
165	276	1388
166	278	1387
167	279	1385
168	281	1384
169	283	1383
170	284	1381
171	286	1379
172	288	1377
173	289	1375
174	291	1374
175	293	1372
176	294	1370
177	296	1369
178	298	1367
179	299	1365
180	301	1363
181	303	1361
182	304	1360
183	306	1358
184	308	1357
185	309	1355
186	311	1354
187	313	1352
188	314	1350
189	316	1349
190	318	1347
191	319	1345
192	321	1343
193	322	1341
194	324	1341
195	326	1339
196	328	1338
197	329	1336
198	331	1334
199	333	1333
200	334	1331
201	336	1330
202	338	1328
203	340	1327
204	341	1325
205	343	1324
206	345	1322
207	346	1320
208	348	1319
209	350	1317
210	351	1315
211	353	1313
212	355	1312
213	356	1310
214	358	1308
215	360	1306
216	361	1305
217	363	1303
218	365	1301
219	366	1300
220	368	1298
221	369	1296
222	371	1294
223	373	1293
224	374	1291
225	376	1290
226	378	1288
227	380	1286
228	381	1285
229	383	1283
230	384	1281
231	386	1279
232	388	1277
233	389	1275
234	391	1274
235	393	1272
236	394	1270
237	396	1268
238	397	1266
239	399	1265
240	401	1263
241	402	1261
242	404	1259
243	406	1258
244	407	1256
245	409	1255
246	411	1253
247	412	1251
248	414	1249
249	416	1248
250	417	1246
251	419	1244
252	420	1242
253	422	1240
254	424	1238
255	425	1237
256	427	1235
257	429	1233
258	429	1229
259	431	1227
260	432	1225
261	434	1224
262	436	1222
263	437	1220
264	439	1218
265	441	1217
266	442	1215
267	444	1213
268	445	1211
269	447	1210
270	449	1208
271	450	1206
272	452	1205
273	454	1203
274	455	1201
275	457	1200
276	459	1198
277	460	1196
278	462	1196
279	465	1196
280	467	1196
281	469	1195
282	472	1195
283	474	1197
284	477	1198
285	479	1197
286	481	1197
287	484	1197
288	486	1197
289	489	1197
290	491	1197
291	493	1196
292	495	1194
293	497	1193
294	499	1193
295	501	1193
296	503	1192
297	505	1191
298	507	1189
299	509	1187
300	510	1186
301	512	1184
302	514	1183
303	515	1181
304	517	1179
305	519	1177
306	520	1175
307	522	1174
308	524	1172
309	525	1170
310	527	1168
311	529	1166
312	530	1165
313	532	1163
314	534	1161
315	535	1159
316	537	1158
317	539	1156
318	541	1155
319	542	1153
320	544	1151
321	546	1150
322	548	1148
323	549	1147
324	551	1145
325	553	1143
326	554	1141
327	556	1140
328	558	1138
329	559	1136
330	561	1135
331	563	1133
332	565	1132
333	567	1130
334	568	1129
335	570	1127
336	572	1126
337	574	1124
338	575	1122
339	577	1120
340	579	1119
341	580	1117
342	582	1115
343	584	1114
344	585	1112
345	587	1110
346	589	1108
347	590	1107
348	592	1105
349	594	1103
350	596	1102
351	597	1100
352	599	1098
353	601	1097
354	602	1095
355	604	1093
356	606	1092
357	607	1090
358	609	1088
359	611	1086
360	613	1085
361	615	1084
362	617	1082
363	618	1081
364	620	1079
365	622	1077
366	623	1076
367	625	1074
368	627	1072
369	629	1071
370	631	1070
371	632	1068
372	634	1066
373	636	1065
374	638	1063
375	639	1061
376	641	1060
377	643	1058
378	644	1056
379	646	1055
380	648	1053
381	650	1052
382	651	1050
383	653	1048
384	655	1046
385	657	1045
386	658	1043
387	660	1041
388	662	1040
389	663	1038
390	665	1036
391	667	1035
392	669	1033
393	670	1031
394	672	1029
395	674	1028
396	675	1026
397	677	1024
398	679	1023
399	681	1021
400	682	1019
401	684	1018
402	686	1016
403	687	1014
