age,hours_per_day,while_working,instrumentalist,exploratory,tempo,frequency_classical,frequency_country,frequency_edm,frequency_folk,frequency_gospel,frequency_hiphop,frequency_jazz,frequency_kpop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_rnb,frequency_rock,anxiety,depression,insomnia,music_effects,streaming_service_Other,streaming_service_Spotify,streaming_service_YouTube Music,fav_genre_Country,fav_genre_EDM,fav_genre_Folk,fav_genre_Gospel,fav_genre_Hip-Hop,fav_genre_Jazz,fav_genre_K-Pop,fav_genre_Latin,fav_genre_Lofi,fav_genre_Metal,fav_genre_Pop,fav_genre_R&B,fav_genre_Rock
-0.3,0.0,1,1,1,156.0,1,0,1,0,0,2,0,3,3,1,0,3,2,0,3,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.2,-0.5,1,0,1,119.0,2,0,0,1,2,1,3,1,2,1,0,2,2,3,7,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,0.3333333333333333,0,0,0,132.0,0,0,3,0,0,1,1,3,0,2,2,1,0,1,7,7,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,-0.16666666666666666,1,0,1,84.0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,9,7,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.3,0.3333333333333333,1,0,1,107.0,0,0,1,0,1,3,0,3,2,2,0,2,3,0,7,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.3,0.6666666666666666,1,1,1,86.0,1,2,0,0,0,2,3,3,1,3,1,3,3,3,8,8,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.3,0.0,1,1,1,66.0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,4,8,6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,-0.6666666666666666,1,0,1,95.0,0,0,1,0,0,3,1,3,0,2,0,2,2,0,5,3,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.2,1.0,1,0,0,94.0,0,3,0,2,0,0,0,0,0,0,3,0,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,-0.6666666666666666,1,0,1,155.0,1,1,1,1,2,1,1,0,1,1,0,2,2,2,2,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.3,0.0,1,1,1,40.0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,7,7,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.2,1.6666666666666667,1,0,1,125.0,1,0,3,0,0,2,1,1,1,1,0,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1,0,1,40.0,1,0,1,0,0,3,0,2,0,3,0,2,2,1,9,3,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.2,-0.3333333333333333,1,0,1,88.0,0,3,1,2,0,2,0,0,0,1,0,1,0,0,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.3,0.3333333333333333,1,1,1,148.0,3,1,0,0,0,0,3,0,2,1,2,2,0,2,6,4,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.4,-0.3333333333333333,0,0,1,40.0,1,1,0,0,0,2,1,1,1,1,1,3,1,2,7,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.5,1.6666666666666667,1,0,1,103.0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,8,8,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
