artist_name,track_name,track_id
SZA,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL
NewJeans,Ditto,3r8RuvgbX9s7ammBn07D3W
RAYE,Escapism.,5Z2MiIZ5I3jJvvmeWMLbOQ
Chris Brown,Under The Influence,5IgjP7X4th6nMNDh4akUHb
Lizzy McAlpine,ceilings,2L9N0zZnd37dwF0clgxMGI
Oliver Tree,Miss You,73vIOb4Q7YN6HeJTbscRx5
The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq
SZA,Low,2GAhgAjOhEmItWLfgisyOn
Feid,Feliz Cumpleaños Ferxxo,2CeKVsFFXG4QzA415QygGb
Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY
Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst
Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI
Niall Horan,Heaven,1yHVHoz6Ny29gbbWJYVnFt
The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB
Miley Cyrus,River,04CqLjewJiSAqM210vZAmT
The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),38T0tPVZHcPZyhtOcCP7pF
Elley Duhé,MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly
Seafret,Atlantis,1Fid2jjqsHViMX6xNH70hE
Taylor Swift,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE
Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd
Lost Frequencies,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z
Lil Peep,Star Shopping,6Ox1rvlwEpB49drasQm6RF
The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha
Linkin Park,Lost,373gDROnujxNTFa1FojYIl
NF,HOPE,12cZWGf5ZgLcKubEW9mx5q
Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr
Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN
Gesaffelstein,Lost in the Fire (feat. The Weeknd),2vXKRlJBXyOcvZYTdNeckS
Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9
Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB
Kenshi Yonezu,KICK BACK,3khEEPRyBeOUabbmOPJzAG
System Of A Down,Chop Suey!,2DlHlPMa4M17kufBvI2lEN
Coldplay,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ
Calvin Harris,Miracle (with Ellie Goulding),5eTaQYBE1yrActixMAeLcZ
Coldplay,Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy
Maiara & Maraisa,A Culpa É Nossa - Ao Vivo,7nwHsYxiuHo98dLI7UVkyn
girl in red,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl
Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3
Coldplay,My Universe,3FeVmId7tL5YN8B7R3imoM
Olivia Rodrigo,happier,2tGvwE8GcFKwNdAXMnlbfl
Coldplay,Paradise,6nek1Nin9q48AVZcWs9e9D
Childish Gambino,Me and Your Mama,4AFsRbaLKRWo3dDtjDFA2V
Labrinth,Formula,6EtKlIQmGPB9SX8UjDJG5s
DJ Snake,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU
Drake,Spin Bout U,2ZL7WZcjuYKi1KUDtp4kCC
Måneskin,THE LONELIEST,1Ame8XTX6QHY0l0ahqUhgv
Jaymes Young,Infinity,1SOClUWhOi8vHZYMz3GluK
Dove Cameron,Boyfriend,59CfNbkERJ3NoTXDvoURjj
Kali Uchis,Melting,2kSb3wYSOV996xA2NSmpck
One Direction,Story of My Life,4nVBt6MZDDP6tRVdQTgxJg
Lewis Capaldi,Forget Me,5uSFGgIfHMT3osrAd9n9ym
Rauw Alejandro,PANTIES Y BRASIERES,0fADaWdT3obxk7zvHS18VY
XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2
Luke Combs,Love You Anyway,3qXsX3mYSsD1DmAvc3PE3N
Kendrick Lamar,PRIDE.,6IZvVAP7VPPnsGX6bvgkqg
Brent Faiyaz,ALL MINE,3XgGQ1wjo5khvq2UImjyNF
Jack Harlow,First Class,0wHFktze2PHC5jDt3B17DC
Naiara Azevedo,Palhaça - Ao Vivo,0KXdSF0Poa57KOepZ3hKrh
Taylor Swift,"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t
Rihanna,Bitch Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq
P!nk,TRUSTFALL,4FWbsd91QSvgr1dSWwW51e
James Arthur,Car's Outside,0otRX6Z89qKkHkQ9OqJpKt
Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB
JIN,The Astronaut,0h7QMc9ZRzA9QJrbEHytn2
Tiësto,Don't Be Shy,0bI7K9Becu2dtXK1Q3cZNB
The Neighbourhood,You Get Me So High,7zwn1eykZtZ5LODrf7c0tS
Ariana Grande,One Last Time,7xoUc6faLbCqZO6fQEYprd
Loreen,Tattoo,1DmW5Ep6ywYwxc2HMT5BG6
One Direction,18,3JjnGLK8IxkNLvo8Lb3KOM
XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2
Shawn Mendes,Mercy,0AS63m1wHv9n4VVRizK6Hc
SunKissed Lola,Pasilyo,0uZFcsx96wzbixsULmrg8o
A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z
The Weeknd,Often,4PhsKqMdgMEUSstTDAmMpg
Harry Styles,Golden,45S5WTQEGOB1VHr1Q4FuPl
Labrinth,Mount Everest,1ZdhOMWyFR8Iv9eylMGYg2
Pritam,Tere Pyaar Mein,2ZD4aIEepqZsdxPxLSuUhm
Danny Ocean,Fuera del mercado,1UdzJEpgJxtuXAlCOvD4S0
Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF
Chief Keef,Love Sosa,01Lr5YepbgjXAWR9iOEyH1
Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi
Arctic Monkeys,505,58ge6dfP91o9oXMzq3XkIS
Swedish House Mafia,Moth To A Flame (with The Weeknd),0VO8gYVDSwM1Qdd2GsMoYK
Linkin Park,What I've Done,18lR4BzEs7e3qzc0KVkTpU
Lost Frequencies,Back To You,3K00Ib1shkOEiAXU5pec6e
Justin Bieber,Baby,6epn3r7S14KUqlReYr77hA
System Of A Down,Toxicity,0snQkGI5qnAmohLE7jTsTn
Selena Gomez,Wolves,0tBbt8CrmxbjRP0pueQkyU
Marshmello,Silence,7vGuf3Y35N4wmASOKLUVVU
SZA,Seek & Destroy,6eT2V7nKXyMf47TwPbtgAD
Duki,Si Me Sobrara el Tiempo,2ypbIXW3a7fsLdLtLpZWDZ
$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm
Chase Atlantic,Friends,2jQiSYrwJehQAcuaaQrXnS
Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO
Giveon,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp
Rels B,A Mí,7MmrcXVA7A5zZ2CbDuGHNa
Frank Ocean,Novacane,4osgfFTICMkcGbbigdsa53
Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
Kodaline,All I Want,0NlGoUyOJSuSHmngoibVAs
